gene,sample,group,log_expr
GENE_0005,114,treatment,8.82741360337176
GENE_0005,115,treatment,9.740345339000163
GENE_0005,116,treatment,8.782566328997307
GENE_0005,117,treatment,9.791541434026007
GENE_0005,118,treatment,9.490899308303398
GENE_0005,119,treatment,9.193025433233222
GENE_0006,120,control,7.590951736151315
GENE_0006,121,control,8.196424679452624
GENE_0006,122,control,7.700844054450051
GENE_0006,123,control,7.277001798565493
GENE_0006,124,control,7.248219302761688
GENE_0006,125,control,8.046008323384646
GENE_0006,126,control,8.81958515966322
GENE_0006,127,control,8.03908035610287
GENE_0006,128,control,7.885833889277044
GENE_0006,129,control,8.108289345418878
GENE_0006,130,treatment,8.669385926576233
GENE_0006,131,treatment,8.071745344387601
GENE_0006,132,treatment,7.725074991678924
GENE_0006,133,treatment,8.559543759170419
GENE_0006,134,treatment,8.186901009791367
GENE_0006,135,treatment,8.795750764235276
GENE_0006,136,treatment,8.051863909109528
GENE_0006,137,treatment,7.277627001191204
GENE_0006,138,treatment,7.198597409052364
GENE_0006,139,treatment,8.859095331364667
GENE_0007,140,control,9.969663297634526
GENE_0007,141,control,9.857645838315163
GENE_0007,142,control,10.872193225673168
GENE_0007,143,control,9.459523739816039
GENE_0007,144,control,9.57629900451425
GENE_0007,145,control,10.422228602018931
GENE_0007,146,control,9.851366047367183
GENE_0007,147,control,10.065581838243917
GENE_0007,148,control,9.978505270751475
GENE_0007,149,control,10.25406486677937
GENE_0007,150,treatment,10.8425138886625
GENE_0007,151,treatment,10.118220563735916
GENE_0007,152,treatment,10.422565201242229
GENE_0007,153,treatment,8.940804209372894
GENE_0007,154,treatment,10.041603743878392
GENE_0007,155,treatment,9.604622216278877
GENE_0007,156,treatment,9.39805168170696
GENE_0007,157,treatment,9.585415063129144
GENE_0007,158,treatment,9.88463097255451
GENE_0007,159,treatment,10.572145263235763
GENE_0008,160,control,6.425176059639453
GENE_0008,161,control,6.142035550379055
GENE_0008,162,control,6.228108536813445
GENE_0008,163,control,6.959845542630055
GENE_0008,164,control,6.7042922290646825
GENE_0008,165,control,7.1438976978060325
GENE_0008,166,control,6.323350615125078
GENE_0008,167,control,6.025560302293637
GENE_0008,168,control,6.285206389428248
GENE_0008,169,control,6.541701973911695
GENE_0008,170,treatment,6.505444085862064
GENE_0008,171,treatment,5.811915298984172
GENE_0008,172,treatment,6.458098118607854
GENE_0008,173,treatment,6.533854320288921
GENE_0008,174,treatment,7.792939459356179
GENE_0008,175,treatment,7.4405932749174415
GENE_0008,176,treatment,5.939044895905172
GENE_0008,177,treatment,6.250267889860476
GENE_0008,178,treatment,5.603435637702171
GENE_0008,179,treatment,6.083439881032605
GENE_0009,180,control,9.041945495796936
GENE_0009,181,control,7.977729893549424
GENE_0009,182,control,8.01894546227112
GENE_0009,183,control,7.197717037952148
GENE_0009,184,control,8.289259748008709
GENE_0009,185,control,7.794398077785648
GENE_0009,186,control,8.087534319257067
GENE_0009,187,control,7.896452576316235
GENE_0009,188,control,8.326881599469502
GENE_0009,189,control,7.411975389062261
GENE_0009,190,treatment,7.571851119343363
GENE_0009,191,treatment,9.549811915923971
GENE_0009,192,treatment,7.670643584607691
GENE_0009,193,treatment,7.775493936158356
GENE_0009,194,treatment,9.389028444885131
GENE_0009,195,treatment,9.976512947390631
GENE_0009,196,treatment,7.73436435845447
GENE_0009,197,treatment,8.17618907807499
GENE_0009,198,treatment,8.566581557325689
GENE_0009,199,treatment,9.329509708731484
GENE_0010,200,control,6.680868690617955
GENE_0010,201,control,7.243307172720074
GENE_0010,202,control,7.054892846842756
GENE_0010,203,control,6.60888566670956
GENE_0010,204,control,6.742168875402292
GENE_0010,205,control,6.059578811282625
GENE_0010,206,control,6.684775946700049
GENE_0010,207,control,6.669258386381189
GENE_0010,208,control,6.943464945180556
GENE_0010,209,control,6.510341535535656
GENE_0010,210,treatment,7.075117693285941
GENE_0010,211,treatment,7.3727652056870205
GENE_0010,212,treatment,6.901257636103772
GENE_0010,213,treatment,7.009237530505677
GENE_0010,214,treatment,6.845006947053942
GENE_0010,215,treatment,6.815817922086393
GENE_0010,216,treatment,6.418914587437549
GENE_0010,217,treatment,6.989843349806434
GENE_0010,218,treatment,6.762263876758696
GENE_0010,219,treatment,7.967014075797942
GENE_0011,220,control,10.100241486876367
GENE_0011,221,control,9.46834441763817
GENE_0011,222,control,9.276199573379412
GENE_0011,223,control,10.543154507169167
GENE_0011,224,control,10.032537956801217
GENE_0011,225,control,10.152104754835678
GENE_0011,226,control,8.928503590134486
GENE_0011,227,control,10.398117047827292
GENE_0011,228,control,10.137957068988191
GENE_0011,229,control,9.277289006542329
GENE_0011,230,treatment,9.62868723887282
GENE_0011,231,treatment,10.033070345366378
GENE_0011,232,treatment,9.916882622066225
GENE_0011,233,treatment,9.727331730778337
GENE_0011,234,treatment,9.831107335534012
GENE_0011,235,treatment,9.749438324956504
GENE_0011,236,treatment,9.97193526462665
GENE_0011,237,treatment,10.697346468116528
GENE_0011,238,treatment,8.476363740458078
GENE_0011,239,treatment,9.757758237489965
GENE_0012,240,control,8.374611599974841
GENE_0012,241,control,8.007261885920226
GENE_0012,242,control,7.245617925283715
GENE_0012,243,control,8.392212421689695
GENE_0012,244,control,9.161857523437238
GENE_0012,245,control,7.36819113294306
GENE_0012,246,control,8.68692031318094
GENE_0012,247,control,8.031126032929343
GENE_0012,248,control,8.17808651544107
GENE_0012,249,control,7.632720724759763
GENE_0012,250,treatment,8.027864010851204
GENE_0012,251,treatment,8.926839432731363
GENE_0012,252,treatment,8.532275288740175
GENE_0012,253,treatment,9.164586288622406
GENE_0012,254,treatment,8.859391444584666
GENE_0012,255,treatment,8.453312579058203
GENE_0012,256,treatment,9.170978895039221
GENE_0012,257,treatment,8.453261142953
GENE_0012,258,treatment,8.667208402885318
GENE_0012,259,treatment,8.048700881202846
GENE_0013,260,control,7.696271876215893
GENE_0013,261,control,8.624126143058215
GENE_0013,262,control,7.43178798631787
GENE_0013,263,control,8.510147667360759
GENE_0013,264,control,7.974996897403208
GENE_0013,265,control,8.724040880438071
GENE_0013,266,control,8.492832922833239
GENE_0013,267,control,9.081210365736787
GENE_0013,268,control,8.481781059157301
GENE_0013,269,control,7.215232838421763
GENE_0013,270,treatment,8.043030733937035
GENE_0013,271,treatment,7.435251023103897
GENE_0013,272,treatment,7.794801065729595
GENE_0013,273,treatment,8.911030617333243
GENE_0013,274,treatment,8.430498575024778
GENE_0013,275,treatment,7.695443243312735
GENE_0013,276,treatment,7.522310427488826
GENE_0013,277,treatment,8.097885130112989
GENE_0013,278,treatment,7.410746896871426
GENE_0013,279,treatment,7.710727826462926
GENE_0014,280,control,9.009832985720175
GENE_0014,281,control,8.709230175584935
GENE_0014,282,control,7.114202136132537
GENE_0014,283,control,8.541813066828135
GENE_0014,284,control,8.41402983113941
GENE_0014,285,control,8.602051022816473
GENE_0014,286,control,9.263326690769656
GENE_0014,287,control,7.239630313618884
GENE_0014,288,control,8.049304482006384
GENE_0014,289,control,8.699409843397838
GENE_0014,290,treatment,7.504534446161824
GENE_0014,291,treatment,9.186183342290922
GENE_0014,292,treatment,8.577007502846854
GENE_0014,293,treatment,8.840032558075364
GENE_0014,294,treatment,8.060392352024506
GENE_0014,295,treatment,8.821981395342908
GENE_0014,296,treatment,8.962070721655463
GENE_0014,297,treatment,8.502494276936934
GENE_0014,298,treatment,8.503331856845776
GENE_0014,299,treatment,8.523100147466442
GENE_0015,300,control,6.882844908180548
GENE_0015,301,control,6.880098289463945
GENE_0015,302,control,7.174852307707165
GENE_0015,303,control,7.513889018113405
GENE_0015,304,control,6.381790837224617
GENE_0015,305,control,6.895230715636974
GENE_0015,306,control,7.778786233525178
GENE_0015,307,control,6.555012156465832
GENE_0015,308,control,6.511748172803066
GENE_0015,309,control,7.075254087819899
GENE_0015,310,treatment,7.428397537079668
GENE_0015,311,treatment,6.970270012871105
GENE_0015,312,treatment,7.694914007053087
GENE_0015,313,treatment,7.435222372724332
GENE_0015,314,treatment,7.426986719102277
GENE_0015,315,treatment,7.268749758040994
GENE_0015,316,treatment,8.24419488750309
GENE_0015,317,treatment,6.851146753436418
GENE_0015,318,treatment,5.8620484216761595
GENE_0015,319,treatment,7.84632558114717
GENE_0016,320,control,7.510094927240478
GENE_0016,321,control,8.1710135595251
GENE_0016,322,control,6.569517935269401
GENE_0016,323,control,6.762354715093433
GENE_0016,324,control,6.57005781743644
GENE_0016,325,control,7.013985723337827
GENE_0016,326,control,7.692560816161156
GENE_0016,327,control,7.7390639963988335
GENE_0016,328,control,7.6027114814825145
GENE_0016,329,control,6.673739446711008
GENE_0016,330,treatment,6.180203792703855
GENE_0016,331,treatment,7.48065515481652
GENE_0016,332,treatment,7.191283864350725
GENE_0016,333,treatment,7.703422857295946
GENE_0016,334,treatment,7.8368351772735085
GENE_0016,335,treatment,7.526793470484085
GENE_0016,336,treatment,7.8688338798085296
GENE_0016,337,treatment,7.576826938615097
GENE_0016,338,treatment,7.742296270932616
GENE_0016,339,treatment,7.063190388273374
GENE_0017,340,control,7.892693156563577
GENE_0017,341,control,8.23575696488183
GENE_0017,342,control,7.567908658678736
GENE_0017,343,control,8.071108294054913
GENE_0017,344,control,7.638254967848791
GENE_0017,345,control,7.7198181113717785
GENE_0017,346,control,8.24070177651549
GENE_0017,347,control,6.688283099322464
GENE_0017,348,control,7.071406522961132
GENE_0017,349,control,6.969264334808699
GENE_0017,350,treatment,6.500977437485682
GENE_0017,351,treatment,7.411420861316903
GENE_0017,352,treatment,8.196654948252508
GENE_0017,353,treatment,7.627780066891834
GENE_0017,354,treatment,7.893250848470268
GENE_0017,355,treatment,8.383535926593186
GENE_0017,356,treatment,8.51469367614948
GENE_0017,357,treatment,7.746440439302873
GENE_0017,358,treatment,8.528938542665419
GENE_0017,359,treatment,7.83513596554101
GENE_0018,360,control,6.6682019376977415
GENE_0018,361,control,6.180827049496287
GENE_0018,362,control,6.506648511853537
GENE_0018,363,control,6.798212952966109
GENE_0018,364,control,7.437093892065277
GENE_0018,365,control,7.941545538548336
GENE_0018,366,control,6.234922297949673
GENE_0018,367,control,7.211177238950001
GENE_0018,368,control,6.422822964870401
GENE_0018,369,control,7.2562055300618065
GENE_0018,370,treatment,6.923024473528796
GENE_0018,371,treatment,5.9881239271909035
GENE_0018,372,treatment,7.505685476769712
GENE_0018,373,treatment,6.662371739362244
GENE_0018,374,treatment,6.70147700030159
GENE_0018,375,treatment,6.406758305197716
GENE_0018,376,treatment,6.63526632922889
GENE_0018,377,treatment,7.23046187378925
GENE_0018,378,treatment,6.8910377438920225
GENE_0018,379,treatment,7.17588623266241
GENE_0019,380,control,9.160670135255105
GENE_0019,381,control,8.245773841739204
GENE_0019,382,control,7.62203442544946
GENE_0019,383,control,9.021278553829204
GENE_0019,384,control,8.251987730061122
GENE_0019,385,control,9.04733206923217
GENE_0019,386,control,8.645163636964972
GENE_0019,387,control,8.362180583102774
GENE_0019,388,control,8.626132966440075
GENE_0019,389,control,9.507363132784077
GENE_0019,390,treatment,9.576645515694176
GENE_0019,391,treatment,8.472465849037642
GENE_0019,392,treatment,8.522411051039004
GENE_0019,393,treatment,9.026238311321125
GENE_0019,394,treatment,7.969192656692572
GENE_0019,395,treatment,8.617494929654653
GENE_0019,396,treatment,8.420081658339992
GENE_0019,397,treatment,8.606955741016266
GENE_0019,398,treatment,7.975953381442439
GENE_0019,399,treatment,7.56004410339468
GENE_0020,400,control,4.897858614666165
GENE_0020,401,control,5.260148470093816
GENE_0020,402,control,5.351164504153631
GENE_0020,403,control,6.577897016146684
GENE_0020,404,control,6.120716230259464
GENE_0020,405,control,4.983269762822554
GENE_0020,406,control,5.703659525658476
GENE_0020,407,control,5.288526846817771
GENE_0020,408,control,5.356019765888397
GENE_0020,409,control,5.61434898398891
GENE_0020,410,treatment,5.852963991146916
GENE_0020,411,treatment,5.325827710674241
GENE_0020,412,treatment,6.097538219814346
GENE_0020,413,treatment,4.8843538524321275
GENE_0020,414,treatment,5.515906361109697
GENE_0020,415,treatment,6.9411404264381575
GENE_0020,416,treatment,5.635113735254351
GENE_0020,417,treatment,6.300687855443845
GENE_0020,418,treatment,5.562755974805714
GENE_0020,419,treatment,5.831847279241837
GENE_0021,420,control,7.838135997088457
GENE_0021,421,control,7.503144848529789
GENE_0021,422,control,8.168525914155424
GENE_0021,423,control,7.463514712676598
GENE_0021,424,control,8.297932046701156
GENE_0021,425,control,8.52876801917402
GENE_0021,426,control,8.133452440709247
GENE_0021,427,control,7.774423363273139
GENE_0021,428,control,8.181541235348552
GENE_0021,429,control,7.762089986178243
GENE_0021,430,treatment,8.446411085734603
GENE_0021,431,treatment,6.924586820410452
GENE_0021,432,treatment,7.7472761142635145
GENE_0021,433,treatment,6.836913569410571
GENE_0021,434,treatment,7.109576710103807
GENE_0021,435,treatment,8.68198439312642
GENE_0021,436,treatment,8.424211906813197
GENE_0021,437,treatment,7.536146038422135
GENE_0021,438,treatment,7.105483265906276
GENE_0021,439,treatment,6.301369305915862
GENE_0022,440,control,8.67903364721691
GENE_0022,441,control,7.586991739785845
GENE_0022,442,control,7.04004063315362
GENE_0022,443,control,7.603599505706008
GENE_0022,444,control,6.489278296333895
GENE_0022,445,control,7.184277540997139
GENE_0022,446,control,7.402518000639495
GENE_0022,447,control,7.3004500319792625
GENE_0022,448,control,7.782748757410383
GENE_0022,449,control,7.537360264910668
GENE_0022,450,treatment,7.715384700440238
GENE_0022,451,treatment,6.969200635253921
GENE_0022,452,treatment,7.841603865106641
GENE_0022,453,treatment,8.243720711674035
GENE_0022,454,treatment,6.814223154672562
GENE_0022,455,treatment,6.859572779837831
GENE_0022,456,treatment,8.082486775456967
GENE_0022,457,treatment,7.242566197798555
GENE_0022,458,treatment,8.119907156117446
GENE_0022,459,treatment,7.104410748940138
GENE_0023,460,control,9.818371890767853
GENE_0023,461,control,9.888080544352336
GENE_0023,462,control,10.606649603443302
GENE_0023,463,control,9.54708092893056
GENE_0023,464,control,9.228437538766126
GENE_0023,465,control,9.49934437710926
GENE_0023,466,control,9.99483836437858
GENE_0023,467,control,8.88488720182557
GENE_0023,468,control,10.096663687982971
GENE_0023,469,control,9.449730466835096
GENE_0023,470,treatment,10.377351654928315
GENE_0023,471,treatment,8.429211523829595
GENE_0023,472,treatment,9.31344351521756
GENE_0023,473,treatment,8.818497208346098
GENE_0023,474,treatment,9.291628485024681
GENE_0023,475,treatment,9.882270937134773
GENE_0023,476,treatment,9.64748004752749
GENE_0023,477,treatment,9.606697028603445
GENE_0023,478,treatment,9.65850301226582
GENE_0023,479,treatment,9.857918223865823
GENE_0024,480,control,7.178524052162749
GENE_0024,481,control,7.154223033380287
GENE_0024,482,control,7.001527615379127
GENE_0024,483,control,7.095850143181466
GENE_0024,484,control,6.952786650113034
GENE_0024,485,control,7.909047066170358
GENE_0024,486,control,6.741854955589391
GENE_0024,487,control,6.620860979584254
GENE_0024,488,control,6.375316580471713
GENE_0024,489,control,6.2220122808504605
GENE_0024,490,treatment,7.45529726648768
GENE_0024,491,treatment,7.650918227391266
GENE_0024,492,treatment,8.100882539759631
GENE_0024,493,treatment,8.323619070342014
GENE_0024,494,treatment,8.16788488187196
GENE_0024,495,treatment,7.7187123470819285
GENE_0024,496,treatment,8.63485825987925
GENE_0024,497,treatment,8.546433719433791
GENE_0024,498,treatment,8.05195018058616
GENE_0024,499,treatment,7.78065287010268
GENE_0025,500,control,8.761498978113117
GENE_0025,501,control,7.861643512317483
GENE_0025,502,control,8.620724364204337
GENE_0025,503,control,8.80223320163667
GENE_0025,504,control,8.163281372427495
GENE_0025,505,control,8.762527371056352
GENE_0025,506,control,7.857961138103975
GENE_0025,507,control,9.393015860002453
GENE_0025,508,control,9.344485996778447
GENE_0025,509,control,8.51922897112913
GENE_0025,510,treatment,8.85801339080725
GENE_0025,511,treatment,7.332656423805828
GENE_0025,512,treatment,8.022122291849826
GENE_0025,513,treatment,8.496535098912087
GENE_0025,514,treatment,8.068440343210987
GENE_0025,515,treatment,9.051031570442621
GENE_0025,516,treatment,9.756626596907156
GENE_0025,517,treatment,8.010975409309642
GENE_0025,518,treatment,8.197508632748903
GENE_0025,519,treatment,8.787610107566222
GENE_0026,520,control,9.261033506302597
GENE_0026,521,control,10.070309245468362
GENE_0026,522,control,10.935053746146755
GENE_0026,523,control,9.024871846700947
GENE_0026,524,control,9.228751314434337
GENE_0026,525,control,9.700355744646084
GENE_0026,526,control,9.647015751129068
GENE_0026,527,control,10.38027008646405
GENE_0026,528,control,10.066252224101005
GENE_0026,529,control,8.957110245396374
GENE_0026,530,treatment,10.21681509979499
GENE_0026,531,treatment,9.615692990153937
GENE_0026,532,treatment,10.634285347517226
GENE_0026,533,treatment,9.588166233159239
GENE_0026,534,treatment,9.583200972493316
GENE_0026,535,treatment,10.230961764142037
GENE_0026,536,treatment,10.35294894348486
GENE_0026,537,treatment,10.179794028364457
GENE_0026,538,treatment,9.006260853637901
GENE_0026,539,treatment,10.229258320160083
GENE_0027,540,control,6.888232199364266
GENE_0027,541,control,5.975776398521238
GENE_0027,542,control,7.004307519139406
GENE_0027,543,control,6.315200940621667
GENE_0027,544,control,6.053381280347434
GENE_0027,545,control,7.1514314130560415
GENE_0027,546,control,6.891734824912935
GENE_0027,547,control,6.421143097224628
GENE_0027,548,control,7.556978704952307
GENE_0027,549,control,6.516471506127363
GENE_0027,550,treatment,8.126489558674734
GENE_0027,551,treatment,8.256732734213951
GENE_0027,552,treatment,7.768014074219984
GENE_0027,553,treatment,8.367955299360682
GENE_0027,554,treatment,7.815431547050123
GENE_0027,555,treatment,7.882429260771806
GENE_0027,556,treatment,8.85828378988256
GENE_0027,557,treatment,7.536508009108883
GENE_0027,558,treatment,6.781801155979501
GENE_0027,559,treatment,8.994845685247263
GENE_0028,560,control,10.83629544713127
GENE_0028,561,control,9.993932620787302
GENE_0028,562,control,10.888427356220634
GENE_0028,563,control,10.901770920716036
GENE_0028,564,control,10.954735430566162
GENE_0028,565,control,10.446830120071386
GENE_0028,566,control,11.377952171490465
GENE_0028,567,control,11.34767259953575
GENE_0028,568,control,10.237270452227785
GENE_0028,569,control,11.443751745560592
GENE_0028,570,treatment,12.188170283198643
GENE_0028,571,treatment,11.153771725968786
GENE_0028,572,treatment,10.873664703990725
GENE_0028,573,treatment,10.981091775204266
GENE_0028,574,treatment,11.397584764961112
GENE_0028,575,treatment,10.107324160099433
GENE_0028,576,treatment,11.14960842976592
GENE_0028,577,treatment,10.844438370923857
GENE_0028,578,treatment,12.075497300254229
GENE_0028,579,treatment,10.963398539535676
GENE_0029,580,control,9.39440774956332
GENE_0029,581,control,10.32445767508496
GENE_0029,582,control,10.177135278428599
GENE_0029,583,control,9.523489147017793
GENE_0029,584,control,10.09903299639374
GENE_0029,585,control,10.668350493600803
GENE_0029,586,control,9.823379695985793
GENE_0029,587,control,9.070885676300053
GENE_0029,588,control,9.991805578780827
GENE_0029,589,control,9.50513243120754
GENE_0029,590,treatment,9.813177617078289
GENE_0029,591,treatment,9.956591860016607
GENE_0029,592,treatment,9.063356414534889
GENE_0029,593,treatment,9.11285304671705
GENE_0029,594,treatment,10.266601892882463
GENE_0029,595,treatment,9.713969850450098
GENE_0029,596,treatment,8.590855745342111
GENE_0029,597,treatment,10.433129353477897
GENE_0029,598,treatment,10.151268498744255
GENE_0029,599,treatment,9.608833980123357
GENE_0030,600,control,6.879498089702996
GENE_0030,601,control,6.611946589138347
GENE_0030,602,control,7.730235002206351
GENE_0030,603,control,6.650907476028826
GENE_0030,604,control,6.633040474424218
GENE_0030,605,control,6.3279933851704
GENE_0030,606,control,6.869030473690546
GENE_0030,607,control,6.7636006074165955
GENE_0030,608,control,7.108252501440968
GENE_0030,609,control,6.133076141479604
GENE_0030,610,treatment,6.1803296366109315
GENE_0030,611,treatment,6.156297002728522
GENE_0030,612,treatment,6.854744693378555
GENE_0030,613,treatment,7.243909688893313
GENE_0030,614,treatment,6.167441475497995
GENE_0030,615,treatment,6.18617819644391
GENE_0030,616,treatment,6.5925462198585
GENE_0030,617,treatment,6.284634921723015
GENE_0030,618,treatment,6.94343325595705
GENE_0030,619,treatment,5.1813262368896345
GENE_0031,620,control,6.577624960020931
GENE_0031,621,control,5.731758136887347
GENE_0031,622,control,6.477952799296885
GENE_0031,623,control,6.504618079984468
GENE_0031,624,control,6.89734638371437
GENE_0031,625,control,7.620085184112872
GENE_0031,626,control,6.87317058554484
GENE_0031,627,control,6.441006397550592
GENE_0031,628,control,6.976628946032286
GENE_0031,629,control,7.5849994354924695
GENE_0031,630,treatment,7.821176594836529
GENE_0031,631,treatment,7.8571377575429295
GENE_0031,632,treatment,8.66515587130055
GENE_0031,633,treatment,8.236109080047786
GENE_0031,634,treatment,8.714070523589937
GENE_0031,635,treatment,8.350448208212313
GENE_0031,636,treatment,8.743868950148988
GENE_0031,637,treatment,7.788660980977374
GENE_0031,638,treatment,8.35130738576618
GENE_0031,639,treatment,8.24207443579999
GENE_0032,640,control,5.681018019747265
GENE_0032,641,control,6.918092860476108
GENE_0032,642,control,6.347907080855156
GENE_0032,643,control,5.978676736169012
GENE_0032,644,control,6.488032475767211
GENE_0032,645,control,7.16134126261716
GENE_0032,646,control,5.286525076120486
GENE_0032,647,control,5.717779611628214
GENE_0032,648,control,6.033343348032647
GENE_0032,649,control,7.344579267771224
GENE_0032,650,treatment,6.696353731680657
GENE_0032,651,treatment,6.962955373328718
GENE_0032,652,treatment,5.913842385555617
GENE_0032,653,treatment,5.925186159676254
GENE_0032,654,treatment,6.787228435272534
GENE_0032,655,treatment,6.5729817730895395
GENE_0032,656,treatment,6.842737241450313
GENE_0032,657,treatment,6.437711846064395
GENE_0032,658,treatment,6.693909940625089
GENE_0032,659,treatment,6.627896387772854
GENE_0033,660,control,9.37717542197137
GENE_0033,661,control,8.042391269986437
GENE_0033,662,control,7.69732316146444
GENE_0033,663,control,9.484280835610239
GENE_0033,664,control,9.586569668195976
GENE_0033,665,control,8.371978206169574
GENE_0033,666,control,7.910411393301814
GENE_0033,667,control,8.98779001845587
GENE_0033,668,control,9.445281891394702
GENE_0033,669,control,9.921997854240784
GENE_0033,670,treatment,9.21728453155771
GENE_0033,671,treatment,8.728876683779777
GENE_0033,672,treatment,8.442099025030236
GENE_0033,673,treatment,8.93961907732077
GENE_0033,674,treatment,8.76872527976502
GENE_0033,675,treatment,8.375033518751062
GENE_0033,676,treatment,10.060136474876717
GENE_0033,677,treatment,9.915163488041582
GENE_0033,678,treatment,9.558147642857396
GENE_0033,679,treatment,8.42685314810689
GENE_0034,680,control,9.377817714380582
GENE_0034,681,control,9.269423282468964
GENE_0034,682,control,9.713339086030812
GENE_0034,683,control,9.375477317730438
GENE_0034,684,control,9.433031019124119
GENE_0034,685,control,9.376321645011451
GENE_0034,686,control,9.213458463557894
GENE_0034,687,control,8.045037067813935
GENE_0034,688,control,9.072014781732541
GENE_0034,689,control,8.720117611789716
GENE_0034,690,treatment,9.672110662454724
GENE_0034,691,treatment,11.301022329772188
GENE_0034,692,treatment,11.326970626643872
GENE_0034,693,treatment,11.12359451931932
GENE_0034,694,treatment,10.516390568427466
GENE_0034,695,treatment,11.118867005680697
GENE_0034,696,treatment,10.382652438487739
